description,amount,type,note
Monthly Salary,85000,income,Full-time job salary
Freelance Work,12000,income,Website project payout
Rent Payment,25000,expense,Apartment rent
Grocery Shopping,4500,expense,Weekly groceries from BigBasket
Electricity Bill,2100,expense,Monthly power bill
Internet Subscription,999,expense,Fiber broadband
Dining Out,1500,expense,Dinner at Olive Garden
Swiggy Order,650,expense,Lunch delivery
Petrol/Fuel,3000,expense,Full tank for car
Netflix,799,expense,Premium monthly plan
Amazon Purchase,1200,expense,Home office supplies
Gym Membership,2000,expense,Monthly fitness fee
Stock Dividend,500,income,Quarterly investment return
Credit Card Bill,15000,expense,Monthly CC payment
Zomato Delivery,450,expense,Late night snack
Uber Ride,350,expense,Commute to downtown
Coffee at Starbucks,450,expense,Morning latte
Book Purchase,800,expense,Self-improvement book
Phone Recharge,599,expense,Monthly prepaid plan
Health Insurance,5000,expense,Monthly premium
